연도,키워드,평균 검색량(상대적)
2010,헬스,66.13207547169812
2010,러닝,12.433962264150944
2010,필라테스,1.0566037735849056
2010,크로스핏,0.0
2010,홈트,0.0
2013,헬스,39.60377358490566
2013,러닝,10.566037735849056
2013,필라테스,6.2075471698113205
2013,크로스핏,3.452830188679245
2013,홈트,0.0
2016,헬스,82.33962264150944
2016,러닝,31.92452830188679
2016,필라테스,17.547169811320753
2016,크로스핏,7.509433962264151
2016,홈트,0.0
2019,헬스,86.84905660377359
2019,러닝,52.24528301886792
2019,필라테스,25.11320754716981
2019,크로스핏,6.018867924528302
2019,홈트,1.0377358490566038
2020,헬스,77.15094339622641
2020,러닝,66.01886792452831
2020,필라테스,20.28301886792453
2020,크로스핏,4.584905660377358
2020,홈트,3.8679245283018866
2021,러닝,88.88679245283019
2021,헬스,73.84905660377359
2021,필라테스,23.056603773584907
2021,크로스핏,5.132075471698113
2021,홈트,5.037735849056604
2022,러닝,83.09433962264151
2022,헬스,74.13207547169812
2022,필라테스,22.169811320754718
2022,크로스핏,7.09433962264151
2022,홈트,3.5849056603773586
2023,러닝,69.81132075471699
2023,헬스,69.20754716981132
2023,필라테스,16.245283018867923
2023,크로스핏,6.528301886792453
2023,홈트,2.3962264150943398
2024,러닝,68.83018867924528
2024,헬스,49.905660377358494
2024,필라테스,10.0
2024,크로스핏,4.547169811320755
2024,홈트,1.7169811320754718
